name,price,discount
Adidas OR5014,114.9,35% marcos + cristales
Adidas OR5034,94.9,35% marcos + cristales
Adidas OR5052,99.9,35% marcos + cristales
Adidas SP5045,94.9,35% marcos + cristales
Adidas SP5048,94.9,35% marcos + cristales
Arnette 0AN6135,84.9,35% marcos + cristales
Arnette 0AN6138,76.9,0
Arnette 0AN7169,64.9,35% marcos + cristales
Arnette 0AN7175,64.9,35% marcos + cristales
Arnette 0AN7197,68.9,35% marcos + cristales
Arnette 0AN7208,60.9,35% marcos + cristales
Arnette 0AN7232,60.9,35% marcos + cristales
Arnette Montrose AN7224,68.9,0
Boss 1044/IT,183.9,35% marcos + cristales
Boss 1437,184.9,35% marcos + cristales
Boss 1444/N,199.9,35% marcos + cristales
Boss 1449,224.9,35% marcos + cristales
Boss B1007/IT,187.9,35% marcos + cristales
CAT CAT3002,94.9,35% marcos + cristales
CAT GANISTER004,94.9,35% marcos + cristales
CHerrera CH0031,189.9,35% marcos + cristales
CKJeans CKJ141AF,99.9,35% marcos + cristales
CKJeans CKJ157AF,99.9,35% marcos + cristales
CKJeans CKJ492AF,99.9,35% marcos + cristales
Carrera  C8863,139.9,35% marcos + cristales
Carrera C226,132.9,35% marcos + cristales
Carrera C308,119.9,35% marcos + cristales
Carrera C8830/V,132.9,35% marcos + cristales
Carrera C8853,132.9,35% marcos + cristales
Carrera C8861,149.9,35% marcos + cristales
Carrera C8881,104.9,35% marcos + cristales
Carrera CA1119,112.9,35% marcos + cristales
Carrera CARDUC007,126.9,35% marcos + cristales
Carrera CARRERA 175 086 55/17,130.9,35% marcos + cristales
Carrera Juvenil 2012T,113.9,35% marcos + cristales
Cat CTO3013,99.9,['0' '35% marcos + cristales']
Cat Chisel,99.9,35% marcos + cristales
Cat Chuck,99.9,35% marcos + cristales
Cat Gambrel,99.9,35% marcos + cristales
Cat Hex,99.9,35% marcos + cristales
Cat Inlay,99.9,35% marcos + cristales
Cat Resaw,99.9,35% marcos + cristales
Cat Twinthread,99.9,35% marcos + cristales
DbyD DBJU08,0.0,Marcos Gratis
DbyD DBOM5016,0.0,Marcos Gratis
DbyD DBOM5043,0.0,Marcos Gratis
DbyD DBOM5044,0.0,Marcos Gratis
DbyD DBOM5045,0.0,Marcos Gratis
